fold,n_train,n_val,accuracy,balanced_accuracy,macro_f1,kappa
1,862,216,0.6620370370370371,0.6693736708928908,0.6688990682594556,0.5264296011532916
2,862,216,0.6064814814814815,0.6134727537816658,0.6131468416141482,0.4718674490852607
3,862,216,0.6759259259259259,0.6733665067771885,0.6736617936162754,0.5662028403385454
4,863,215,0.6325581395348837,0.6337763798701299,0.6287003171107454,0.5091749747146366
5,863,215,0.7395348837209302,0.7245833301707059,0.7172549091258715,0.6436077316993755
