emotion,precision,recall,f1,support
HVHA,0.6821705426356589,0.704,0.6929133858267716,250
HVLA,0.7250996015936255,0.6867924528301886,0.7054263565891473,265
LVLA,0.5709090909090909,0.6205533596837944,0.5946969696969697,253
LVHA,0.6802721088435374,0.6451612903225806,0.6622516556291391,310
