eeg_emotion,feature_similarity_score,fragment_alignment_score
HVHA,0.7617209739659885,0.7756947389324905
HVLA,0.7579475643310895,0.7892175259351418
LVHA,0.7974754833284482,0.7981177484277625
LVLA,0.7722890561387613,0.7905131457908953
