window_size,hop_size,run_id,n_results,n_groups,mean_music_match_score,best_music_match_score,mean_top1_music_match,emotion_match_rate,macro_f1,top_k_accuracy,group_consistency_mean,mean_eeg_windows_per_trial,selection_score
3.0,1.5,window_size_vkr_w3_h1p5,55,9,0.7748489127758231,0.8365331704433305,0.8070414430532806,0.41818181818181815,0.3225650615552439,0.8888888888888888,0.5555555555555555,3.909090909090909,0.5324054734033219
4.0,2.0,window_size_vkr_w4_h2,140,10,0.7661403458914443,0.8550871208515203,0.8234818018206924,0.2,0.19571982281284606,0.9,0.49999999999999994,3.0,0.43181019939824233
12.0,6.0,window_size_vkr_w12_h6,150,10,0.734974925181124,0.8060184133826913,0.7809213824843175,0.19,0.19290106029236465,0.8,0.49999999999999994,4.133333333333334,0.40179863148959355
8.0,4.0,window_size_vkr_w8_h4,150,10,0.7463514854930162,0.8152666801456951,0.790923999939389,0.16,0.15584156140662989,0.8,0.5833333333333334,4.266666666666667,0.38097522455356037
6.0,3.0,window_size_vkr_w6_h3,150,10,0.7601917698893669,0.8586578273953573,0.8240471108265813,0.14,0.1321454678362573,0.6,0.49999999999999994,3.9,0.3314652537584901
16.0,8.0,window_size_vkr_w16_h8,150,10,0.7161525767410145,0.8062970231503923,0.7699857529192157,0.13,0.11862745098039215,0.5,0.49999999999999994,4.533333333333333,0.29544884333003923
2.0,1.0,window_size_vkr_w2_h1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
