eeg_emotion,feature_similarity_score,fragment_alignment_score
HVHA,0.8184715298395281,0.790970206771543
HVLA,0.7385411595123843,0.7644095837285042
LVHA,0.7488579393989426,0.7721220625341504
LVLA,0.7848146380420156,0.7664307945442168
