eeg_emotion,feature_similarity_score,fragment_alignment_score
HVHA,0.828569081017591,0.8422638454289786
HVLA,0.7674415264141191,0.8214009624169462
LVHA,0.8102455182473264,0.8288631574862139
LVLA,0.8065689687579786,0.8139206043561557
