eeg_emotion,top_work,top_composer,consistency,n_people,mean_music_match_score
HVHA,"maestro|MIDI-UNPROCESSED_04-07-08-10-12-15-17_R2_2014_MID--AUDIO_08_R2_2014_wav|Franz Schubert - Sonata in A Major, D. 959 (Com",Franz Schubert,1.0,1,0.7985007523870473
HVLA,"maestro|MIDI-UNPROCESSED_04-07-08-10-12-15-17_R2_2014_MID--AUDIO_08_R2_2014_wav|Franz Schubert - Sonata in A Major, D. 959 (Com",Johannes Brahms,0.3333333333333333,3,0.7774952555320412
LVHA,emopia|Q4_v3Nl5rUxLqE_0|Gjermund - Topic - Shy Paws (clip 0) [LVHA],Gjermund - Topic,0.3333333333333333,3,0.7729803577381041
LVLA,emopia|Q4_v3Nl5rUxLqE_0|Gjermund - Topic - Shy Paws (clip 0) [LVHA],Gjermund - Topic,0.3333333333333333,3,0.7864287442152302
