eeg_emotion,feature_similarity_score,fragment_alignment_score
HVHA,0.7991289649648828,0.7985007523870473
HVLA,0.7610871637853766,0.7774952555320412
LVHA,0.7456462698556151,0.7729803577381041
LVLA,0.7904823233131536,0.7864287442152302
